,amt,close_adj,free_float_cap,high_adj,low_adj,open_adj,pe_ttm,s_val_pb_new,volume,vwap_adj
000001.SZ,708001.802,1101.92028,7.76E+10,1104.080908,1085.71557,1092.197454,7.0569,0.7958,696364.55,1098.367599
000002.SZ,606994.703,3609.5004,1.40E+11,3643.74072,3568.12668,3580.9668,9.0253,1.9949,240694.9,3597.8627
000004.SZ,3220.929,67.826491,8.47E+08,68.436076,67.013711,67.826491,122.8454,11.0298,1932.18,67.744896
000005.SZ,117122.321,27.8028,2.48E+09,29.934348,26.968716,26.968716,83.4508,2.3894,376948.36,28.795531
000006.SZ,38645.416,184.136956,4.64E+09,184.479218,181.39886,182.083384,7.4896,1.2465,72307.16,182.92597
000008.SZ,95248.208,90.435282,6.53E+09,90.435282,88.653306,89.321547,12.8967,1.63,237609.26,89.290512
000009.SZ,53761.994,32.916633,7.80E+09,32.916633,32.40116,32.769355,187.1584,1.8881,121099.81,32.691872
000011.SZ,32033.16,34.072514,1.42E+09,34.247604,33.44219,33.582262,30.363,2.0098,33109,33.880129
000012.SZ,25728.498,99.003723,7.07E+09,99.241142,97.816628,98.528885,20.4627,1.3331,61914.45,98.659267
000014.SZ,27710.206,52.573347,1.30E+09,52.627158,51.766182,52.142859,361.714,2.6592,28548.15,52.231542
000016.SZ,25488.929,73.895515,3.74E+09,74.318985,72.83684,73.26031,1.5684,1.0484,73253.56,73.674213
000017.SZ,56370.472,12.957441,1.16E+09,13.064749,12.555036,12.662344,669.4724,156.805,117229.72,12.899891
000020.SZ,11288.473,19.042066,7.01E+08,19.147174,18.779296,19.00703,2739.5829,9.5836,10429.57,18.960654
000021.SZ,46512.091,85.76956,4.39E+09,86.737926,84.524518,84.524518,17.7767,1.476,75085.47,85.694205
000023.SZ,46699.777,34.23144,1.09E+09,34.311048,33.17,33.461896,245.6557,4.3039,36694.05,33.771832
000025.SZ,74855.544,51.607548,1.64E+09,52.285356,50.967396,51.099192,131.2186,8.1558,27277.2,51.6688
000026.SZ,23458.19,57.3651,1.51E+09,57.585735,56.261925,56.261925,20.5749,1.3414,30146.25,57.228763
000027.SZ,20248.221,71.280909,5.69E+09,71.415148,70.475475,71.012431,38.3097,0.9983,38347.88,70.880084
000028.SZ,71935.501,152.677618,4.80E+09,154.512404,147.524602,154.512404,14.1699,1.5199,18637.92,150.67229
000030.SZ,12359.269,12.983048,2.24E+09,13.079696,12.821968,12.821968,8.6033,1.184,30697.56,12.970614
